XXXinorg1,XXXinorg1mass,XXXinorg2,XXXinorg2mass,XXXinorg3,XXXinorg3mass,XXXorg1,XXXorg1mass,XXXorg2,XXXorg2mass,XXXoxlike1,XXXoxlike1mass,temp,time,slowCool,pH
sodium metavanadate,0.1236,Selenium dioxide,1.1206,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2017,-1,-1.0,sodium oxalate,0.4998,90,18.0,1,1
sodium metavanadate,0.1239,Selenium dioxide,1.1203,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2042,-1,-1.0,sodium oxalate,0.3379,90,18.0,1,1
sodium metavanadate,0.149,Selenium dioxide,1.1191,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2009,-1,-1.0,sodium oxalate,0.2785,90,18.0,1,1
sodium metavanadate,0.0989,Selenium dioxide,1.1224,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2046,-1,-1.0,sodium oxalate,0.2798,90,18.0,1,1
sodium metavanadate,0.1239,Selenium dioxide,1.3361,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2038,-1,-1.0,sodium oxalate,0.2811,90,18.0,1,1
sodium metavanadate,0.1238,Selenium dioxide,0.8963,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2034,-1,-1.0,sodium oxalate,0.2808,90,18.0,1,1
sodium metavanadate,0.1268,Selenium dioxide,1.1137,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2461,-1,-1.0,sodium oxalate,0.2789,90,18.0,1,1
sodium metavanadate,0.1234,Selenium dioxide,1.1182,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.1692,-1,-1.0,sodium oxalate,0.2812,90,18.0,1,1
sodium metavanadate,0.1234,Selenium dioxide,1.1145,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2041,-1,-1.0,sodium oxalate,0.3347,90,18.0,1,1
sodium metavanadate,0.1264,Selenium dioxide,1.1201,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2087,-1,-1.0,sodium oxalate,0.2263,90,18.0,1,1
sodium metavanadate,0.1486,Selenium dioxide,1.1119,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2015,-1,-1.0,sodium oxalate,0.3474,90,16.0,1,1
sodium metavanadate,0.0989,Selenium dioxide,1.1165,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2049,-1,-1.0,sodium oxalate,0.3458,90,16.0,1,1
sodium metavanadate,0.1258,Selenium dioxide,1.3356,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2058,-1,-1.0,sodium oxalate,0.3474,90,16.0,1,1
sodium metavanadate,0.1235,Selenium dioxide,0.8939,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2085,-1,-1.0,sodium oxalate,0.3473,90,16.0,1,1
sodium metavanadate,0.1234,Selenium dioxide,1.1189,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2478,-1,-1.0,sodium oxalate,0.3471,90,16.0,1,1
sodium metavanadate,0.1249,Selenium dioxide,1.1417,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.1615,-1,-1.0,sodium oxalate,0.3461,90,16.0,1,1
sodium metavanadate,0.1256,Selenium dioxide,1.1112,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2012,-1,-1.0,sodium oxalate,0.4166,90,16.0,1,1
sodium metavanadate,0.1236,Selenium dioxide,1.1186,-1,-1.0,"1,4-diazabicyclo[2.2.2]octane",0.2036,-1,-1.0,sodium oxalate,0.2773,90,16.0,1,1
sodium metavanadate,0.1202,gallium trinitrate,1.0,-1,-1.0,2-methylpiperazine,0.1004,-1,-1.0,-1,-1.0,150,20.0,1,2
potassium metavanadate,0.0758,Selenium dioxide,0.7012,-1,-1.0,2-methylpiperazine,0.1298,-1,-1.0,sodium oxalate,0.1139,90,24.0,0,1
potassium metavanadate,0.1408,Selenium dioxide,0.7032,-1,-1.0,2-methylpiperazine,0.1036,-1,-1.0,sodium oxalate,0.1147,90,24.0,0,1
sodium vanadium trioxide,0.1204,sodium fluoride,0.0456,Selenium dioxide,1.3562,2-methylpiperazine,0.1009,-1,-1.0,-1,-1.0,110,24.0,1,2
sodium vanadium trioxide,0.1233,sodium fluoride,0.1367,Selenium dioxide,1.3886,2-methylpiperazine,0.102,-1,-1.0,-1,-1.0,110,24.0,1,2
sodium vanadium trioxide,0.1292,Selenium dioxide,0.8833,-1,-1.0,"1,4-dimethylpiperazine hydrochloride",0.1176,-1,-1.0,-1,-1.0,110,24.0,1,2
sodium vanadium trioxide,0.1292,Selenium dioxide,0.8833,-1,-1.0,"1,4-dimethylpiperazine hydrochloride",0.1176,-1,-1.0,-1,-1.0,110,24.0,1,1
sodium vanadium trioxide,0.1309,Selenium dioxide,0.8899,-1,-1.0,"1,4-dimethylpiperazine hydrochloride",0.1154,-1,-1.0,-1,-1.0,110,24.0,1,4
sodium vanadium trioxide,0.1151,Selenium dioxide,1.3263,-1,-1.0,"1,4-dimethylpiperazine hydrochloride",0.1119,-1,-1.0,-1,-1.0,110,24.0,1,7
sodium metavanadate,0.1239,Selenium dioxide,0.3367,-1,-1.0,piperazine,0.0956,-1,-1.0,sodium oxalate,0.136,90,24.0,0,2
sodium metavanadate,0.1237,Selenium dioxide,1.6073,-1,-1.0,piperazine,0.089,-1,-1.0,-1,-1.0,90,24.0,0,1
sodium metavanadate,0.1249,Selenium dioxide,2.1865,-1,-1.0,piperazine,0.1036,-1,-1.0,-1,-1.0,90,24.0,0,1
sodium metavanadate,0.1259,Selenium dioxide,0.2737,-1,-1.0,piperazine,0.0936,-1,-1.0,sodium oxalate,0.1416,90,24.0,0,2
sodium metavanadate,0.128,Selenium dioxide,0.1108,-1,-1.0,piperazine,0.0881,-1,-1.0,sodium oxalate,0.141,90,24.0,0,2
sodium metavanadate,0.1249,Selenium dioxide,1.1135,-1,-1.0,piperazine,0.0903,-1,-1.0,-1,-1.0,90,48.0,0,2
sodium metavanadate,0.1249,Selenium dioxide,1.1029,-1,-1.0,piperazine,0.1441,-1,-1.0,-1,-1.0,90,48.0,0,2
sodium metavanadate,0.1234,Selenium dioxide,1.1128,-1,-1.0,piperazine,0.1826,-1,-1.0,-1,-1.0,90,48.0,0,2
sodium metavanadate,0.1238,Selenium dioxide,1.1084,-1,-1.0,piperazine,0.2273,-1,-1.0,-1,-1.0,90,48.0,0,2
sodium metavanadate,0.124,Selenium dioxide,1.1319,-1,-1.0,piperazine,0.2721,-1,-1.0,-1,-1.0,90,48.0,0,2
sodium metavanadate,0.1252,Selenium dioxide,1.1215,-1,-1.0,piperazine,0.0863,-1,-1.0,-1,-1.0,105,48.0,0,2
sodium metavanadate,0.1264,Selenium dioxide,1.1118,-1,-1.0,piperazine,0.1413,-1,-1.0,-1,-1.0,105,48.0,0,2
sodium metavanadate,0.1273,Selenium dioxide,1.1492,-1,-1.0,piperazine,0.1922,-1,-1.0,-1,-1.0,105,48.0,0,2
sodium metavanadate,0.1291,Selenium dioxide,1.1468,-1,-1.0,piperazine,0.2436,-1,-1.0,-1,-1.0,105,48.0,0,2
sodium metavanadate,0.1242,Selenium dioxide,1.1416,-1,-1.0,piperazine,0.2778,-1,-1.0,-1,-1.0,105,48.0,0,2
sodium metavanadate,0.1258,Selenium dioxide,0.9077,-1,-1.0,piperazine,0.1047,-1,-1.0,sodium oxalate,0.1321,90,24.0,0,4
sodium metavanadate,0.1317,Selenium dioxide,0.8801,-1,-1.0,piperazine,0.0857,-1,-1.0,-1,-1.0,90,24.0,0,2
sodium metavanadate,0.1229,Selenium dioxide,0.6639,-1,-1.0,piperazine,0.0941,-1,-1.0,sodium oxalate,0.1063,90,24.0,0,2
sodium metavanadate,0.1268,Selenium dioxide,0.6749,-1,-1.0,piperazine,0.0867,-1,-1.0,sodium oxalate,0.1055,90,24.0,0,1
sodium metavanadate,0.1251,Selenium dioxide,0.6658,-1,-1.0,piperazine,0.1038,-1,-1.0,sodium oxalate,0.1145,90,24.0,0,2
sodium metavanadate,0.1242,Selenium dioxide,0.6737,-1,-1.0,piperazine,0.0882,-1,-1.0,sodium oxalate,0.1062,90,24.0,0,3
sodium metavanadate,0.1235,Selenium dioxide,0.6796,-1,-1.0,piperazine,0.0893,-1,-1.0,sodium oxalate,0.1124,90,24.0,0,4
sodium metavanadate,0.0646,Selenium dioxide,0.6652,-1,-1.0,piperazine,0.0912,-1,-1.0,sodium oxalate,0.1129,90,24.0,0,2
sodium metavanadate,0.1271,Selenium dioxide,0.6896,-1,-1.0,piperazine,0.0935,-1,-1.0,sodium oxalate,0.1133,90,24.0,0,2
sodium metavanadate,0.0919,Selenium dioxide,0.754,-1,-1.0,piperazine,0.0956,-1,-1.0,sodium oxalate,0.1214,90,24.0,0,1
sodium metavanadate,0.1212,Selenium dioxide,0.6639,-1,-1.0,piperazine,0.1075,-1,-1.0,sodium oxalate,0.1083,90,24.0,0,1
sodium metavanadate,0.123,Selenium dioxide,0.906,-1,-1.0,piperazine,0.0862,-1,-1.0,sodium oxalate,0.1077,90,24.0,0,1
sodium metavanadate,0.1236,Selenium dioxide,1.1308,-1,-1.0,piperazine,0.1054,-1,-1.0,sodium oxalate,0.105,90,24.0,0,1
sodium metavanadate,0.241,Selenium dioxide,0.4462,-1,-1.0,piperazine,0.0963,-1,-1.0,sodium oxalate,0.1043,90,24.0,0,1
sodium metavanadate,0.2531,Selenium dioxide,0.6724,-1,-1.0,piperazine,0.0972,-1,-1.0,sodium oxalate,0.1119,90,24.0,0,1
sodium metavanadate,0.2519,Selenium dioxide,0.8843,-1,-1.0,piperazine,0.1043,-1,-1.0,sodium oxalate,0.1063,90,24.0,0,1
sodium metavanadate,0.2511,Selenium dioxide,1.1023,-1,-1.0,piperazine,0.0857,-1,-1.0,sodium oxalate,0.115,90,24.0,0,1
sodium metavanadate,0.129,Selenium dioxide,0.6619,-1,-1.0,piperazine,0.0879,-1,-1.0,sodium oxalate,0.1074,90,24.0,0,1
sodium metavanadate,0.1541,Selenium dioxide,0.6928,-1,-1.0,piperazine,0.0985,-1,-1.0,sodium oxalate,0.1148,90,24.0,0,1
sodium metavanadate,0.1851,Selenium dioxide,0.763,-1,-1.0,piperazine,0.0901,-1,-1.0,sodium oxalate,0.1231,90,24.0,0,1
sodium metavanadate,0.2112,Selenium dioxide,0.6905,-1,-1.0,piperazine,0.0883,-1,-1.0,sodium oxalate,0.117,90,24.0,0,1
sodium metavanadate,0.2482,Selenium dioxide,0.7202,-1,-1.0,piperazine,0.1218,-1,-1.0,sodium oxalate,0.1017,90,24.0,0,1
sodium metavanadate,0.3085,Selenium dioxide,0.6636,-1,-1.0,piperazine,0.085,-1,-1.0,sodium oxalate,0.1142,90,24.0,0,1
sodium metavanadate,0.3688,Selenium dioxide,0.6599,-1,-1.0,piperazine,0.0905,-1,-1.0,sodium oxalate,0.1026,90,24.0,0,1
sodium metavanadate,0.1253,Selenium dioxide,0.4472,-1,-1.0,piperazine,0.0866,-1,-1.0,sodium oxalate,0.1072,90,24.0,0,1
sodium metavanadate,0.1325,Selenium dioxide,0.8941,-1,-1.0,piperazine,0.0967,-1,-1.0,-1,-1.0,60,84.0,1,1
sodium metavanadate,0.1337,Selenium dioxide,0.9725,-1,-1.0,piperazine,0.1337,-1,-1.0,-1,-1.0,60,84.0,1,1
sodium metavanadate,0.1225,Selenium dioxide,0.7673,-1,-1.0,piperazine,0.0909,-1,-1.0,-1,-1.0,60,84.0,1,1
sodium metavanadate,0.1234,Selenium dioxide,0.7067,-1,-1.0,piperazine,0.0835,-1,-1.0,-1,-1.0,60,84.0,1,1
sodium metavanadate,0.1238,Selenium dioxide,0.7263,-1,-1.0,piperazine,0.0998,-1,-1.0,-1,-1.0,60,84.0,1,1
sodium metavanadate,0.1249,Selenium dioxide,0.7266,-1,-1.0,piperazine,0.0902,-1,-1.0,-1,-1.0,60,84.0,1,1
sodium metavanadate,0.1322,Selenium dioxide,0.8859,-1,-1.0,piperazine,0.0975,-1,-1.0,-1,-1.0,90,24.0,0,1
sodium metavanadate,0.076,Selenium dioxide,1.3141,-1,-1.0,piperazine,0.101,-1,-1.0,-1,-1.0,75,24.0,0,1
sodium metavanadate,0.1256,Selenium dioxide,1.3445,-1,-1.0,piperazine,0.0922,-1,-1.0,-1,-1.0,75,24.0,0,1
sodium metavanadate,0.1584,Selenium dioxide,1.3691,-1,-1.0,piperazine,0.1029,-1,-1.0,-1,-1.0,75,24.0,0,1
sodium metavanadate,0.1843,Selenium dioxide,1.4464,-1,-1.0,piperazine,0.0997,-1,-1.0,-1,-1.0,75,24.0,0,1
sodium metavanadate,0.1266,Selenium dioxide,1.1089,-1,-1.0,piperazine,0.0842,-1,-1.0,-1,-1.0,90,24.0,0,1
sodium metavanadate,0.1272,Selenium dioxide,1.1179,-1,-1.0,piperazine,0.1076,-1,-1.0,-1,-1.0,90,24.0,0,2
sodium metavanadate,0.1216,Selenium dioxide,1.1072,-1,-1.0,piperazine,0.0862,-1,-1.0,-1,-1.0,90,24.0,0,3
sodium metavanadate,0.1223,Selenium dioxide,1.1296,-1,-1.0,piperazine,0.0958,-1,-1.0,-1,-1.0,90,24.0,0,4
sodium metavanadate,0.1227,Selenium dioxide,0.9081,-1,-1.0,piperazine,0.0864,-1,-1.0,-1,-1.0,105,24.0,1,2
sodium metavanadate,0.1265,Selenium dioxide,1.134,-1,-1.0,piperazine,0.091,-1,-1.0,-1,-1.0,105,24.0,1,2
sodium metavanadate,0.1275,Selenium dioxide,1.1118,-1,-1.0,piperazine,0.0979,-1,-1.0,-1,-1.0,90,24.0,0,1
sodium metavanadate,0.1244,Selenium dioxide,0.5528,-1,-1.0,piperazine,0.1121,-1,-1.0,-1,-1.0,90,24.0,0,2
sodium metavanadate,0.1216,Selenium dioxide,0.3608,-1,-1.0,piperazine,0.0884,-1,-1.0,-1,-1.0,90,24.0,0,2
sodium metavanadate,0.1254,Selenium dioxide,1.3777,-1,-1.0,piperazine,0.0861,-1,-1.0,-1,-1.0,90,24.0,0,1
sodium metavanadate,0.135,Selenium dioxide,1.0502,-1,-1.0,piperazine,0.0936,-1,-1.0,-1,-1.0,90,19.0,1,1
ammonium metavanadate,0.1185,Selenium dioxide,1.3253,-1,-1.0,homopiperazine,0.1054,-1,-1.0,-1,-1.0,110,48.0,1,2
ammonium metavanadate,0.1172,Selenium dioxide,0.9812,-1,-1.0,homopiperazine,0.1027,-1,-1.0,-1,-1.0,110,48.0,1,2
ammonium metavanadate,0.1376,Selenium dioxide,0.1356,-1,-1.0,homopiperazine,1.1981,-1,-1.0,-1,-1.0,110,24.0,1,7
ammonium metavanadate,1.0662,Selenium dioxide,0.1359,-1,-1.0,homopiperazine,0.3825,-1,-1.0,-1,-1.0,110,24.0,1,7
ammonium metavanadate,0.1356,Selenium dioxide,1.0817,-1,-1.0,homopiperazine,0.3825,-1,-1.0,-1,-1.0,110,24.0,1,7
ammonium metavanadate,0.137,Selenium dioxide,1.3292,-1,-1.0,homopiperazine,0.1167,-1,-1.0,-1,-1.0,110,24.0,1,7
molybdenum trioxide,0.9128,HIO3,0.2198,-1,-1.0,ethylenediamine,0.0774,-1,-1.0,-1,-1.0,180,48.0,1,5
molybdenum trioxide,0.3567,HIO3,0.4355,-1,-1.0,ethylenediamine,0.1487,-1,-1.0,-1,-1.0,180,48.0,1,5
molybdenum trioxide,0.1814,HIO3,0.2149,-1,-1.0,ethylenediamine,0.2954,-1,-1.0,-1,-1.0,180,48.0,1,5
molybdenum trioxide,0.1801,HIO3,0.8728,-1,-1.0,ethylenediamine,0.0834,-1,-1.0,-1,-1.0,180,48.0,1,5
molybdenum trioxide,0.438,HIO3,0.265,-1,-1.0,ethylenediamine,0.1843,-1,-1.0,-1,-1.0,180,48.0,1,5
molybdenum trioxide,0.4377,HIO3,0.5275,-1,-1.0,ethylenediamine,0.0929,-1,-1.0,-1,-1.0,180,48.0,1,5
molybdenum trioxide,0.2204,HIO3,0.5245,-1,-1.0,ethylenediamine,0.1906,-1,-1.0,-1,-1.0,180,48.0,1,5
sodium metavanadate,0.1355,Selenium dioxide,0.8935,-1,-1.0,imidazole,0.1604,-1,-1.0,sodium oxalate,0.1627,90,18.0,1,2
sodium metavanadate,0.1303,Selenium dioxide,1.1162,-1,-1.0,imidazole,0.0925,-1,-1.0,-1,-1.0,90,18.0,1,1
sodium metavanadate,0.1403,Selenium dioxide,1.1211,-1,-1.0,imidazole,0.0726,-1,-1.0,sodium oxalate,0.1483,90,18.0,1,2
sodium metavanadate,0.132,Selenium dioxide,1.111,-1,-1.0,imidazole,0.072,-1,-1.0,sodium oxalate,0.227,90,16.0,1,1
sodium metavanadate,0.1262,Selenium dioxide,0.4455,-1,-1.0,1-(2-aminoethyl)piperazine,0.1692,-1,-1.0,sodium oxalate,0.1035,90,24.0,0,2
sodium metavanadate,0.1236,Selenium dioxide,1.1603,-1,-1.0,1-(2-aminoethyl)piperazine,0.1437,-1,-1.0,sodium oxalate,0.1307,90,24.0,0,2
sodium metavanadate,0.1276,Selenium dioxide,1.0117,-1,-1.0,1-(2-aminoethyl)piperazine,0.1634,-1,-1.0,sodium oxalate,0.1371,90,24.0,0,2
sodium metavanadate,0.122,Selenium dioxide,0.7036,-1,-1.0,1-(2-aminoethyl)piperazine,0.1305,-1,-1.0,sodium oxalate,0.1112,90,24.0,0,2
sodium metavanadate,0.132,Selenium dioxide,0.9131,-1,-1.0,1-(2-aminoethyl)piperazine,0.138,-1,-1.0,sodium oxalate,0.1594,90,20.0,1,2
sodium metavanadate,0.1652,Selenium dioxide,0.9682,-1,-1.0,1-(2-aminoethyl)piperazine,0.1613,-1,-1.0,sodium oxalate,0.1571,90,19.0,1,1
sodium metavanadate,0.1297,Selenium dioxide,1.1183,-1,-1.0,1-(2-aminoethyl)piperazine,0.1625,-1,-1.0,-1,-1.0,90,18.0,1,1
sodium metavanadate,0.134,Selenium dioxide,1.135,-1,-1.0,1-(2-aminoethyl)piperazine,0.133,-1,-1.0,sodium oxalate,0.149,90,20.0,1,2
sodium metavanadate,0.154,Selenium dioxide,1.125,-1,-1.0,1-(2-aminoethyl)piperazine,0.179,-1,-1.0,sodium oxalate,0.141,90,19.0,1,1
Selenium dioxide,0.6687,Oxovanadium(2+) sulfate,0.3299,-1,-1.0,"1,4-diaminobutane",0.4539,-1,-1.0,-1,-1.0,120,96.0,0,3
Oxovanadium(2+) sulfate,0.396,Selenium dioxide,0.585,-1,-1.0,"1,4-diaminobutane",0.274,-1,-1.0,-1,-1.0,110,72.0,1,4
Oxovanadium(2+) sulfate,0.372,Selenium dioxide,0.562,-1,-1.0,"1,4-diaminobutane",0.273,-1,-1.0,-1,-1.0,110,72.0,1,7
sodium tellurite,0.1369,ammonium metavanadate,0.1464,-1,-1.0,piperazine,0.0704,-1,-1.0,-1,-1.0,90,84.0,1,8
sodium metavanadate,0.1106,Potassium Dichromate,0.5535,-1,-1.0,1-methylpiperazine,0.1073,-1,-1.0,sodium oxalate,0.0987,110,60.0,1,2
sodium metavanadate,-1.0,Selenium dioxide,-1.0,-1,-1.0,"N,N-dimethyl-N'-ethylethylenediamine",0.0858,"1,10-diaminodecane",-1.0,-1,-1.0,90,24.0,0,4
sodium tellurite,0.2797,sodium metavanadate,0.1571,-1,-1.0,"1,6-diaminohexane",0.0933,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.276,sodium metavanadate,0.1554,-1,-1.0,"1,6-diaminohexane",0.0935,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2879,sodium metavanadate,0.112,-1,-1.0,"1,6-diaminohexane",0.093,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.1349,sodium metavanadate,0.156,-1,-1.0,"1,6-diaminohexane",0.112,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2738,sodium metavanadate,0.1401,-1,-1.0,"1,6-diaminohexane",0.1107,-1,-1.0,-1,-1.0,75,60.0,0,8
sodium tellurite,0.2786,sodium metavanadate,0.1472,-1,-1.0,"1,6-diaminohexane",0.0955,-1,-1.0,-1,-1.0,75,60.0,0,8
sodium tellurite,0.2715,sodium metavanadate,0.1431,-1,-1.0,"1,6-diaminohexane",0.0936,-1,-1.0,-1,-1.0,75,60.0,0,8
sodium tellurite,0.2583,sodium metavanadate,0.1444,-1,-1.0,"1,6-diaminohexane",0.119,-1,-1.0,-1,-1.0,75,60.0,0,8
sodium tellurite,0.2674,sodium metavanadate,0.141,-1,-1.0,"1,6-diaminohexane",0.1028,-1,-1.0,-1,-1.0,75,60.0,0,8
sodium tellurite,0.2613,sodium metavanadate,0.14,-1,-1.0,"1,6-diaminohexane",0.1028,-1,-1.0,-1,-1.0,75,60.0,0,8
sodium tellurite,0.2593,sodium metavanadate,0.1757,-1,-1.0,"1,6-diaminohexane",0.1026,-1,-1.0,-1,-1.0,75,60.0,0,8
sodium tellurite,0.2704,sodium metavanadate,0.1453,-1,-1.0,"1,6-diaminohexane",0.0918,-1,-1.0,-1,-1.0,75,60.0,0,8
sodium tellurite,0.2687,sodium metavanadate,0.1626,-1,-1.0,"1,6-diaminohexane",0.1285,-1,-1.0,-1,-1.0,75,60.0,0,8
sodium tellurite,0.266,sodium metavanadate,0.1466,-1,-1.0,"1,6-diaminohexane",0.1076,-1,-1.0,-1,-1.0,75,60.0,0,8
sodium tellurite,0.2622,sodium metavanadate,0.149,-1,-1.0,"1,6-diaminohexane",0.1041,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2619,sodium metavanadate,0.1605,-1,-1.0,"1,6-diaminohexane",0.0911,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2696,sodium metavanadate,0.145,-1,-1.0,"1,6-diaminohexane",0.0925,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2665,sodium metavanadate,0.1419,-1,-1.0,"1,6-diaminohexane",0.0967,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2621,sodium metavanadate,0.143,-1,-1.0,"1,6-diaminohexane",0.0976,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2686,sodium metavanadate,0.1559,-1,-1.0,"1,6-diaminohexane",0.1112,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2727,sodium metavanadate,0.1472,-1,-1.0,"1,6-diaminohexane",0.1161,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2716,sodium metavanadate,0.1482,-1,-1.0,"1,6-diaminohexane",0.0922,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2696,sodium metavanadate,0.1463,-1,-1.0,"1,6-diaminohexane",0.1042,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.27,sodium metavanadate,0.1563,-1,-1.0,"1,6-diaminohexane",0.0922,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2685,sodium metavanadate,0.151,-1,-1.0,"1,6-diaminohexane",0.098,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.267,sodium metavanadate,0.1554,-1,-1.0,"1,6-diaminohexane",0.0935,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2628,sodium metavanadate,0.1428,-1,-1.0,"1,6-diaminohexane",0.0974,-1,-1.0,-1,-1.0,90,60.0,0,9
sodium tellurite,0.2634,sodium metavanadate,0.151,-1,-1.0,"1,6-diaminohexane",0.0978,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2648,sodium metavanadate,0.1409,-1,-1.0,"1,6-diaminohexane",0.105,-1,-1.0,-1,-1.0,90,60.0,0,8
sodium tellurite,0.2624,sodium metavanadate,0.1432,-1,-1.0,"1,6-diaminohexane",0.114,-1,-1.0,-1,-1.0,90,60.0,0,7
sodium metavanadate,0.1422,sodium tellurite,0.362,-1,-1.0,"1,6-diaminohexane",0.1406,-1,-1.0,sodium oxalate,0.1044,90,60.0,1,7
sodium metavanadate,0.1495,sodium tellurite,0.2642,-1,-1.0,"1,6-diaminohexane",0.136,-1,-1.0,-1,-1.0,90,60.0,1,6
sodium tellurite,0.275,sodium metavanadate,0.151,-1,-1.0,"1,6-diaminohexane",0.098,-1,-1.0,-1,-1.0,90,60.0,1,8
sodium tellurite,0.1462,sodium metavanadate,0.0793,-1,-1.0,"1,6-diaminohexane",0.1409,-1,-1.0,-1,-1.0,90,24.0,1,8
sodium tellurite,0.165,sodium metavanadate,0.0748,-1,-1.0,"1,6-diaminohexane",0.1546,-1,-1.0,-1,-1.0,90,24.0,1,8
sodium tellurite,0.1457,sodium metavanadate,0.0745,-1,-1.0,"1,6-diaminohexane",0.1391,-1,-1.0,-1,-1.0,90,24.0,1,8
Oxovanadium(2+) sulfate,0.3277,Selenium dioxide,0.5984,-1,-1.0,piperazine,0.3482,-1,-1.0,-1,-1.0,110,24.0,1,7
Oxovanadium(2+) sulfate,0.3248,Selenium dioxide,0.5684,-1,-1.0,piperazine,0.3467,-1,-1.0,-1,-1.0,110,24.0,1,7
Oxovanadium(2+) sulfate,0.3209,Selenium dioxide,0.5626,-1,-1.0,piperazine,0.35,-1,-1.0,-1,-1.0,110,24.0,1,7
Oxovanadium(2+) sulfate,0.3256,Selenium dioxide,0.5616,-1,-1.0,piperazine,0.1781,-1,-1.0,-1,-1.0,110,24.0,1,7
Oxovanadium(2+) sulfate,0.3256,Selenium dioxide,0.5466,-1,-1.0,piperazine,0.1759,-1,-1.0,-1,-1.0,90,24.0,1,2
Oxovanadium(2+) sulfate,0.3328,Selenium dioxide,0.557,-1,-1.0,piperazine,0.1807,-1,-1.0,-1,-1.0,90,24.0,1,7
Oxovanadium(2+) sulfate,0.1666,Selenium dioxide,1.3311,-1,-1.0,piperazine,0.0859,-1,-1.0,-1,-1.0,110,24.0,1,1
Oxovanadium(2+) sulfate,0.1625,Selenium dioxide,1.3223,-1,-1.0,piperazine,0.0924,-1,-1.0,-1,-1.0,110,24.0,1,1
Oxovanadium(2+) sulfate,0.1644,Selenium dioxide,0.9628,-1,-1.0,piperazine,0.1309,-1,-1.0,-1,-1.0,70,48.0,0,1
Oxovanadium(2+) sulfate,0.1656,Selenium dioxide,0.8886,-1,-1.0,piperazine,0.1981,-1,-1.0,-1,-1.0,70,48.0,0,1
Oxovanadium(2+) sulfate,0.1613,Selenium dioxide,0.9184,-1,-1.0,piperazine,0.1792,-1,-1.0,-1,-1.0,70,48.0,0,1
Oxovanadium(2+) sulfate,0.1676,Selenium dioxide,0.9158,-1,-1.0,piperazine,0.1523,-1,-1.0,-1,-1.0,70,48.0,0,1
Oxovanadium(2+) sulfate,0.3337,Selenium dioxide,0.5917,-1,-1.0,piperazine,0.1377,-1,-1.0,-1,-1.0,70,48.0,0,1
Oxovanadium(2+) sulfate,0.3217,Selenium dioxide,1.1026,-1,-1.0,piperazine,0.1325,-1,-1.0,-1,-1.0,70,48.0,0,1
Oxovanadium(2+) sulfate,0.3207,Selenium dioxide,0.9342,-1,-1.0,piperazine,0.1442,-1,-1.0,-1,-1.0,70,48.0,0,1
Oxovanadium(2+) sulfate,0.3392,Selenium dioxide,0.9106,-1,-1.0,piperazine,0.1332,-1,-1.0,-1,-1.0,70,48.0,0,1
Oxovanadium(2+) sulfate,0.1649,Selenium dioxide,0.8857,-1,-1.0,piperazine,0.0967,-1,-1.0,-1,-1.0,130,24.0,1,1
Oxovanadium(2+) sulfate,0.1747,Selenium dioxide,0.9693,-1,-1.0,piperazine,0.0893,-1,-1.0,-1,-1.0,130,24.0,1,1
Oxovanadium(2+) sulfate,0.099,Selenium dioxide,0.6689,-1,-1.0,piperazine,0.1043,-1,-1.0,sodium oxalate,0.1092,90,24.0,0,2
